Категорія,Назва,Бренд,Ціна,Наявність,Стан,Гарантія,Фото (ім'я файлу або посилання),Опис
Мережеве обладнання,Підсилювач Wi-Fi сигналу Mercusys MW300RE,Mercusys,744,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-mercusys-mw300re.jpg,"Посилює сигнал Wi-Fi у раніше недоступних зонах 3 зовнішні антени з технологією MIMO Зручне розширення покриття одним натисканням кнопки WPS Компактний розмір та підключення до настінної розетки дозволяють легко встановлювати пристрій Світлодіодний індикатор дозволяє знайти найкраще місце для встановлення пристрою для розширення Wi-Fi мережі Усунення «мертвих зон» у мережі Wi-Fi Втомилися від мертвих зон Wi-Fi? MW300RE усуне їх за допомогою бездротового підключення до роутера, посилюючи сигнал там, де сам роутер не справляється. Він також знижує інтерференцію сигналу, забезпечуючи надійне покриття по всьому будинку або офісу. Неймовірно простий Натисніть кнопку WPS на роутері та MW300RE, і ви зможете підключитися до мережі за лічені хвилини. Після підключення просто перемістіть підсилювач у потрібну кімнату і підключіть до розетки для забезпечення кращого сигналу – знову налаштовувати не потрібно."
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-AC35 Білий,Pix-Link,960,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-ac35-bilyi.jpg,"Підсилювач Wi-Fi сигналу Pix-Link LV-AC35 Підсилювач Wi-Fi сигналу Pix-Link LV-AC35 - це потужний пристрій, який допоможе вам розширити зону покриття вашої бездротової мережі та забезпечити стабільне інтернет-з'єднання у всіх куточках вашого будинку чи офісу. Основні характеристики: Швидкість передачі: до 1200 Мбіт/с Частотний діапазон: 2.4 ГГц та 5 ГГц Антени: 4 зовнішні антени для покращення сигналу Режим роботи: Режим підсилювача, точка доступу, маршрутизатор Підтримка стандартів: IEEE 802.11ac/a/b/g/n Безпека: Підтримка WPA/WPA2 шифрування для захисту вашої мережі Інтерфейси: 1 порт LAN, 1 порт WAN/LAN Потужність передачі: менше 20 дБм Температура роботи: від 0 до 40 °C Температура зберігання: від -40 до 70 °C Робоча вологість: 10-90% (без конденсації) Переваги: Простота налаштування: Легке налаштування через веб-інтерфейс чи мобільний додаток Компактний дизайн: Зручний для розміщення в будь-якому місці Стабільний сигнал: Забезпечує стабільне і швидке з'єднання навіть у віддалених…"
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-AC35 Чорний,Pix-Link,960,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-ac35-chornyi.jpg,"Підсилювач Wi-Fi сигналу Pix-Link LV-AC35 Підсилювач Wi-Fi сигналу Pix-Link LV-AC35 - це потужний пристрій, який допоможе вам розширити зону покриття вашої бездротової мережі та забезпечити стабільне інтернет-з'єднання у всіх куточках вашого будинку чи офісу. Основні характеристики: Швидкість передачі: до 1200 Мбіт/с Частотний діапазон: 2.4 ГГц та 5 ГГц Антени: 4 зовнішні антени для покращення сигналу Режим роботи: Режим підсилювача, точка доступу, маршрутизатор Підтримка стандартів: IEEE 802.11ac/a/b/g/n Безпека: Підтримка WPA/WPA2 шифрування для захисту вашої мережі Інтерфейси: 1 порт LAN, 1 порт WAN/LAN Потужність передачі: менше 20 дБм Температура роботи: від 0 до 40 °C Температура зберігання: від -40 до 70 °C Робоча вологість: 10-90% (без конденсації) Переваги: Простота налаштування: Легке налаштування через веб-інтерфейс чи мобільний додаток Компактний дизайн: Зручний для розміщення в будь-якому місці Стабільний сигнал: Забезпечує стабільне і швидке з'єднання навіть у віддалених…"
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-WR01T,Pix-Link,332,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-wr01t.jpg,"Високошвидкісна передача даних через WiFi: насолоджуйтесь безперебійним підключенням до Інтернету за допомогою бездротового повторювача WiFi WR01 від PIX-LINK, що забезпечує швидкість передачі даних через Wi-Fi 2.4G 300 Мбіт/с. Велика дальність покриття: цей підсилювач WiFi забезпечує надсильний сигнал охоплюючи до 300 метрів, гарантуючи безперебійний доступ WiFi на великих територіях. Міцна конструкція: цей підсилювач WiFi, вироблений у материковому Китаї, відрізняється міцністю та довговічністю, що робить його надійним вибором для ваших мережевих потреб. Універсальне застосування: ця бездротова точка доступу ідеально підходить для невеликих офісів, підвищуючи доступність та надійність Інтернету, що робить її невід'ємною частиною будь-якої сучасної мережної установки. Сертифікована безпека: завдяки сертифікації RoHS цей продукт гарантує відповідність стандартам безпеки, забезпечуючи вам спокій під час його використання."
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-WR03T,Pix-Link,332,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-wr03t.jpg,"PIX-LINK 300M WiFi Extender Підсилювач сигналу для домашнього Wi-Fi-повторювача з портом Ethernet Швидкість Wireless-N до 300 Мбіт/с Відповідає стандартам IEEE 802.11B/G/N. Підтримує режими повторювача, клієнта та точки доступу. Підтримує шифрування WEP, WPA/WPA2, WPA-PSK/WPA2-PSK. Ретранслятор МТ02 – це ефективне рішення для посилення та розширення мережі в будинку чи офісі. З його допомогою ви можете збільшити покриття Wi-Fi до 300 Мбіт/с у діапазоні 2,4 ГГц, забезпечуючи стабільне підключення у будь-якому куточку приміщення. Проста установка дозволяє швидко та легко підключити підсилювач до розетки, після чого він почне автоматичне налаштування для оптимального посилення сигналу. Цей репітер компактний і ненав'язливий, завдяки чому легко вписується в будь-який інтер'єр. Він ідеально підходить для використання у квартирах, будинках, офісах та інших приміщеннях, де необхідно розширити зону покриття Wi-Fi."
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-WR33T,Pix-Link,390,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-wr33t.jpg,"Висока швидкість передачі даних Wi-Fi — 300 Мбіт/с: насолоджуйтесь блискавичною швидкістю інтернету зі швидкістю передачі даних 300 Мбіт/с. Підсилювач сигналу Wi-Fi дальньої дії: оцініть надійне та стабільне підключення до Інтернету за допомогою підсилювача сигналу Wi-Fi дальньої дії. Підсилювач Wi-Fi: підсилювач Wi-Fi забезпечує сильний і стабільний сигнал вашого інтернету, забезпечуючи безперебійну роботу в мережі. Стандарт передачі Wi-Fi 802.11N: Стандарт передачі Wi-Fi 802.11N гарантує, що ваше інтернет-з'єднання буде швидким, стабільним та надійним."
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-WR48S4T,Pix-Link,387,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-wr48s4t.jpg,"Пристрій Pix-Link LV-WR48S4T підсилює та роздає інтернет засобами WIFI або за допомогою кабелю Переваги: Підсилює сигнал Wi-fi Передає швидкість до 300 Мб/с Має 4 антени, які нахиляються на 90 градусів та крутяться на 180 градусів Працює від звичайної розетки без додаткових перехідників; Компактні розміри - можна встановити будь-де або взяти з собою; Стильний дизайн - пристрій впишеться в будь-який інтер'єр Особливості: Pix-Link LV-WR48S4T - це міні WiFi роутер із чотирма зовнішніми антенами та підтримкою 2,4 ГГц. Якщо вам потрібно збільшити дальність і посилити бездротовий сигнал, а також усунути ""мертві зони"" - цей інструмент впорається з усіма цими завданнями. У режимі AP ретранслятор Wi-Fi підключений до дротової мережі, а потім дротовий доступ до Інтернету трансформується в бездротовий. У режимі ретранслятора Wi-Fi копіює існуючий бездротовий сигнал для розширення зони дії сигналу."
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-WR49D4Q,Pix-Link,485,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-wr49d4q.jpg,"Пристрій Pix-Link LV-WR49D4Q підсилює та роздає інтернет засобами WIFI або за допомогою кабелю Переваги: Підсилює сигнал Wi-fi Передає швидкість до 300 Мб/с Має 4 антени, які нахиляються на 90 градусів та крутяться на 180 градусів Працює від звичайної розетки без додаткових перехідників; Компактні розміри - можна встановити будь-де або взяти з собою; Стильний дизайн - пристрій впишеться в будь-який інтер'єр Особливості: Pix-Link LV-WR49D4Q - це міні WiFi роутер із чотирма зовнішніми антенами та підтримкою 2,4 ГГц. Якщо вам потрібно збільшити дальність і посилити бездротовий сигнал, а також усунути ""мертві зони"" - цей інструмент впорається з усіма цими завданнями. У режимі AP ретранслятор Wi-Fi підключений до дротової мережі, а потім дротовий доступ до Інтернету трансформується в бездротовий. У режимі ретранслятора Wi-Fi копіює існуючий бездротовий сигнал для розширення зони дії сигналу."
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-WR49S4T,Pix-Link,387,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-wr49s4t.jpg,"Пристрій Pix-Link LV-WR49S4T підсилює та роздає інтернет засобами WIFI або за допомогою кабелю Переваги: Підсилює сигнал Wi-fi Передає швидкість до 300 Мб/с Має 4 антени, які нахиляються на 90 градусів та крутяться на 180 градусів Працює від звичайної розетки без додаткових перехідників; Компактні розміри - можна встановити будь-де або взяти з собою; Стильний дизайн - пристрій впишеться в будь-який інтер'єр Особливості: Pix-Link LV-WR49S4T - це міні WiFi роутер із чотирма зовнішніми антенами та підтримкою 2,4 ГГц. Якщо вам потрібно збільшити дальність і посилити бездротовий сигнал, а також усунути ""мертві зони"" - цей інструмент впорається з усіма цими завданнями. У режимі AP ретранслятор Wi-Fi підключений до дротової мережі, а потім дротовий доступ до Інтернету трансформується в бездротовий. У режимі ретранслятора Wi-Fi копіює існуючий бездротовий сигнал для розширення зони дії сигналу."
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-WR52Q,Pix-Link,436,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-wr52q.jpg,"Підсилювач WiFi сигналу Pix-Link LV-WR32Q - це надійний пристрій, який допоможе вам розширити зону покриття вашої бездротової мережі. Завдяки своїм компактним розмірам і простоті налаштування, він ідеально підходить для використання в будинках, офісах та інших приміщеннях. Основні характеристики: Швидкість передачі даних: до 300 Мбіт/с Частотний діапазон: 2.4 ГГц Антени: 4 зовнішні антени для покращення сигналу Режими роботи: Режим підсилювача, точка доступу, маршрутизатор Підтримка стандартів: IEEE 802.11b/g/n Безпека: Підтримка WPA/WPA2 шифрування для захисту вашої мережі Інтерфейси: 1 порт LAN, 1 порт WAN/LAN Переваги: Простота налаштування: Легке налаштування через веб-інтерфейс або мобільний додаток Компактний дизайн: Зручний для розміщення в будь-якому місці Стабільний сигнал: Забезпечує стабільне і швидке з’єднання навіть у віддалених куточках вашого приміщення Цей підсилювач WiFi сигналу допоможе вам насолоджуватися безперебійним інтернет-з’єднанням у будь-якому куточку вашого…"
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-WR54Q,Pix-Link,458,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-wr54q.jpg,"Підсилювач Wi-Fi сигналу Pix-Link LV-WR54Q - це надійний пристрій, який допоможе вам розширити зону покриття вашої бездротової мережі. Завдяки своїм компактним розмірам і простоті налаштування, він ідеально підходить для використання в будинках, офісах та інших приміщеннях. Основні характеристики: Швидкість передачі даних: до 300 Мбіт/с Частотний діапазон: 2.4 ГГц Антени: 4 зовнішні антени для покращення сигналу Режими роботи: Режим підсилювача, точка доступу, маршрутизатор Підтримка стандартів: IEEE 802.11b/g/n Безпека: Підтримка WPA/WPA2 шифрування для захисту вашої мережі Інтерфейси: 1 порт LAN, 1 порт WAN/LAN Переваги: Простота налаштування: Легке налаштування через веб-інтерфейс або мобільний додаток Компактний дизайн: Зручний для розміщення в будь-якому місці Стабільний сигнал: Забезпечує стабільне і швидке з’єднання навіть у віддалених куточках вашого приміщення Цей підсилювач WiFi сигналу допоможе вам насолоджуватися безперебійним інтернет-з’єднанням у будь-якому куточку вашого…"
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-WR60Q3,Pix-Link,690,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-wr60q3.jpg,"Бездротовий ретранслятор PIX-LINK 300M з 6 антенами, потужний підсилювач Wi-Fi, що встановлюється через стіну. Ретранслятор Pix-Link LV-WR60Q3 ефективно посилює сигнал основного маршрутизатора, вирішуючи проблему недостатнього покриття сигналу в кімнаті та забезпечуючи покриття мережі без мертвих зон по всьому будинку. Він забезпечує плавну та стабільну роботу мережі в таких ситуаціях, як перегляд серіалів, ігри або робота в офісі, і гарантує, що користувачі не будуть перешкоджати через проблеми з мережею. Завдяки конструкції «підключи та працюй» користувачі можуть виконати налаштування за кілька простих кроків, не володіючи складними знаннями в області мереж і не потребуючи додаткових інструментів для налаштування."
Мережеве обладнання,Підсилювач Wi-Fi сигналу Pix-Link LV-WR60T,Pix-Link,474,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-pix-link-lv-wr60t.jpg,"Бездротовий ретранслятор PIX-LINK 300M з 6 антенами, потужний підсилювач Wi-Fi, що встановлюється через стіну. Ретранслятор Wi-Fi WR60T ефективно посилює сигнал основного маршрутизатора, вирішуючи проблему недостатнього покриття сигналу в кімнаті та забезпечуючи покриття мережі без мертвих зон по всьому будинку. Він забезпечує плавну та стабільну роботу мережі в таких ситуаціях, як перегляд серіалів, ігри або робота в офісі, і гарантує, що користувачі не будуть перешкоджати через проблеми з мережею. Завдяки конструкції «підключи та працюй» користувачі можуть виконати налаштування за кілька простих кроків, не володіючи складними знаннями в області мереж і не потребуючи додаткових інструментів для налаштування."
Мережеве обладнання,Підсилювач Wi-Fi сигналу TP-LINK TL-WA850RE,TP-Link,860,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-tp-link-tl-wa850re.jpg,"Універсальний підсилювач бездротового сигналу, швидкість до 300 Мбіт/сTL-WA850RE Режим посилення сигналу (Range Extender Mode) дозволяє передавати сигнал у недоступні раніше місця, де не можливе прокладання кабелю Завдяки компактному та зручному дизайну підсилювач легко встановлювати та переносити Збільшення зони покриття бездротової мережі одним натисканням кнопки Range Extender Завдяки порту Ethernet підсилювач сигналу може працювати як бездротовий адаптер для підключення дротових пристроїв Призначення пристрою Підсилювач сигналу TL-WA850RE призначений для розширення зони покриття бездротової мережі, а також для усунення ""мертвих зон"". Завдяки бездротовій передачі даних на швидкості до 300 Мбіт/с, компактному розміру, можливості встановлення на стіні та кнопці Range Extender ви зможете з легкістю збільшити зону покриття бездротової мережі."
Мережеве обладнання,Підсилювач Wi-Fi сигналу TP-LINK TL-WA854RE,TP-Link,814,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-tp-link-tl-wa854re.jpg,"Універсальний підсилювач бездротового сигналу, швидкість до 300 Мбіт/сTL-WA854RE Режим посилення сигналу (Range Extender Mode) збільшує зону покриття бездротової мережі в раніше недоступних місцях або там, де неможливе прокладання кабелю Завдяки зручному та компактному дизайну підсилювач легко підключати до будь-якої настінної розетки Збільшення зони покриття бездротової мережі одним натисканням кнопки Range Extender Призначення пристрою Підсилювач сигналу TL-WA854RE призначений для розширення зони покриття бездротової мережі, а також для усунення «мертвих зон». Завдяки бездротовій передачі даних на швидкості до 300 Мбіт/с, компактному розміру, можливості встановлення на стіні та кнопці Range Extender ви зможете з легкістю збільшити зону покриття бездротової мережі."
Мережеве обладнання,Підсилювач Wi-Fi сигналу Xiaomi WiFi Range Extender N300 (DVB4398GL),Xiaomi,567,в наявності,нове,,pidsyliuvach-wi-fi-sygnalu-xiaomi-wifi-range-extender-n300-d.jpg,"ПІДТРИМКА ТЕХНОЛОГІЇ MIMO 2X2 І ШВИДКІСТЬ ДО 300 МБІТ/С Так, інженери Xiaomi додали в даний репітер Wi-Fi сигналу не тільки можливість забезпечувати швидкість передачі даних до 300 Мбіт/с, а й підтримку найкрутішої технології MIMO. Така інновація дає можливість суттєво поліпшити якість зв'язку одночасно для кількох підключених пристроїв. Крім крутого дизайну, пристрій отримав дві зовнішні антени для забезпечення якісного та стабільного сигналу. Також фахівці китайської компанії зробили свій гаджет розумним, додавши можливість синхронізації зі смартфоном за допомогою спеціального мобільного додатка. Чим більше техніки з'являється в нашому будинку, тим частіше виникає потреба збільшити потужність і зону покриття Wi- Fi роутера, щоб сигнал добре ловив і в кухні, і в спальні, і у вітальні. А іноді треба дотягнути і до альтанки на подвір'ї будинку, щоб улітку можна було з комфортом влаштуватися там із ноутбуком пограти та попрацювати."
Аудіотехніка,Радіо GOLON ICF-506BT,,374,в наявності,нове,,radio-golon-icf-506bt.jpg,"Акумуляторний радіоприймач з можливістю відтворення з Usb та microSD флешки. Радіоприймач ловить на частотах FM, AM, SW. Виконано виріб із міцних матеріалів, завдяки чому прослужить довгий час. Робота радіо здійснюється від акумуляторної батареї. Діапазон частот: FM 88 –108 MHz, AM 530 – 1710 KHz, SW 3.9 – 22 MHz. Golon ICF-506BT - відрізняється гучним, якісним звуком, зручний і функціональний, має відмінний прийом радіо-сигналу. Характеристики: Тип: Радіоприймач; Вид товару: Акустична система; Виробник: Golon; Модель: ICF-506BT; Джерело живлення: Акумулятор; Потужність, Вт: 3; Оснащення: З FM тюнером; Підтримка носіїв: Карти пам'яті microSD; USB флеш-пам'ять; Розміри: 13.4 х 3.5 х 7.7 см; Колір: Чорний. Комплектація: Радіоприймач; Кабель USB; Акумулятор; Коробка."
Аудіотехніка,Радіо GOLON ICF-8BT акумуляторний,,423,в наявності,нове,,radio-golon-icf-8bt-akumuliatornyi.jpg,"Радіоприймач Golon ICF-8BT Акумуляторний всіхвільний приймач, оснащений аналоговим тюнером. Радіоприймач ловитиме на частотах FM, AM, SW. Виконано виріб із міцних матеріалів, завдяки чому прослужить довгу годину. Робота радіоприймача здійснюється від акумуляторної батареї. Особливістю даної моделі є можливість відтворення з USB та microCD флешки. Характеристики радіоприймача Golon ICF-8: Діапазон частот: FM 88-108 MHz, AM 530 - 1710 KHz, SW 3.9 - 22 MHz; Акумулятор: 18650; Вихідна потужність: 3 Вт; Вхід до блока живлення DC 5V IN; В акустичній системі використано сучасні динаміки високої якості; FM/AM/SW радіо; USB/TF; USB-TF-PC Link; Гніздо для навушників; Заряджання через USB-microUSB провід; Розмір пристрою: 13.5х3. 5х7. 5 см; Розміри коробки: 15.3х44х8.2 см. Комплектація: Радіоприймач Golon ICF-8; Провід USB-microUSB;"
Аудіотехніка,Радіо GOLON RX-1313BT,,412,в наявності,нове,,radio-golon-rx-1313bt.jpg,"Радіоприймач Golon RX1313 — це стильний і компактний пристрій, що поєднує сучасні технології та елегантний дизайн. Він забезпечує гучний та чистий звук, а також простоту управління і налаштування. Завдяки малим розмірам, цей радіоприймач ідеально підходить для подорожей, пікніків або відпочинку на природі, будь то на дачі, на пляжі або під час шашликів у лісі. Додатково, пристрій оснащений вбудованим ліхтариком, що робить його ще більш функціональним. Він працює від USB, батарейок (2 шт. R20) та має вбудований акумулятор, що дозволяє використовувати його в будь-якому місці. Характеристики товару (українська): Бренд : GOLON Інтерфейси : 3.5 мм, microSD, USB Джерело живлення : USB, батарейки (2 шт. R20), вбудований акумулятор Особливість : ліхтарик Радіочастоти : AM, FM, SW Вихід під навушники : Так"
Аудіотехніка,Радіо GOLON RX-3040 акумуляторний,,374,в наявності,нове,,radio-golon-rx-3040-akumuliatornyi.jpg,"Радіоприймач Golon RX 3040 – це портативний та зручний пристрій для прослуховування радіо в будь-який час та в будь-якому місці. Основні переваги: Підтримка різних джерел живлення Простота в управлінні Відмінний прийом радіосигналу Компактні розміри Ергономічний дизайн Детальний опис: Радіоприймач працює від USB-порту, що дозволяє використовувати його з комп'ютерами, ноутбуками, Power Bank та іншими джерелами живлення. Він забезпечує якісне відтворення FM-радіостанцій, даруючи вам можливість насолоджуватися улюбленими музичними передачами та додатками у будь-який зручний час. Завдяки своїм компактним розмірам радіоприймач легко поміщається в кишеню або сумку, що робить його ідеальним супутником у подорожах. Він також стане незамінним помічником у ситуаціях, коли доступ до інших джерел інформації обмежений, наприклад, на природі чи далеко від міської інфраструктури."
Аудіотехніка,Радіо RX-A06AC,,360,в наявності,нове,,radio-rx-a06ac.jpg,"Портативний радіоприймач Golon RX-A06AC — це зручне рішення для прослуховування улюблених радіостанцій вдома, на дачі чи в дорозі. Завдяки підтримці широкого діапазону хвиль AM, FM, SW1, SW2 та навіть телевізійного сигналу, ви завжди зможете знайти цікаве мовлення. Пристрій може працювати як від мережі 220 В, так і від двох батарейок типу UM3, що робить його мобільним і практичним. Телескопічна антена забезпечує якісний прийом сигналу, навіть у зонах зі слабким покриттям. На корпусі передбачені зручні регулятори гучності та налаштування частоти, а також ручка для транспортування. Golon RX-A06AC — це простота, універсальність та надійність у класичному корпусі. Характеристики: Частотні діапазони: AM/FM/TV/SW1/SW2 FM-діапазон: 64–108 МГц Аудіо вхід/вихід Живлення: від мережі 110–220 В або 2 батарейки UM3 (у комплект не входять) Розміри: 155 × 104 × 54 мм Телескопічна антена Ручка для зручного перенесення"
Аудіотехніка,Радіоприймач GOLON RX-166LED акумуляторний,,558,в наявності,нове,,radiopryimach-golon-rx-166led-akumuliatornyi.jpg,"Радіоприймач Golon RX-177 LED — це компактний пристрій, що поєднує в собі зручність, функціональність і надійність, що робить його чудовим вибором для використання вдома, на дачі або в подорожах. Основні переваги: Телескопічна антена для стабільного приймання радіосигналу Можливість роботи від акумулятора або батарейок Вбудований LED-ліхтар Високочутливий динамік із чистим звучанням Зручна ручка для перенесення Просте настроювання радіочастот Підтримка зовнішніх носіїв через USB і слот для TF-карт Опис пристрою: Цей радіоприймач забезпечує якісне вживання радіостанцій завдяки довгій телескопічній антені. Пристрій підтримує кілька варіантів живлення: від акумулятора, батарейок або мережі 220 В, що робить його зручним для використання в будь-яких умовах. Завдяки вбудованому кардридеру та USB-роз'єму ви можете слухати не тільки радіо, а й аудіофайли з зовнішніх носіїв."
Аудіотехніка,Радіоприймач GOLON RX-177LED акумуляторний,,589,в наявності,нове,,radiopryimach-golon-rx-177led-akumuliatornyi.jpg,"Радіоприймач Golon RX-177 LED — це компактний пристрій, що поєднує в собі зручність, функціональність і надійність, що робить його чудовим вибором для використання вдома, на дачі або в подорожах. Основні переваги: Телескопічна антена для стабільного приймання радіосигналу Можливість роботи від акумулятора або батарейок Вбудований LED-ліхтар Високочутливий динамік із чистим звучанням Зручна ручка для перенесення Просте настроювання радіочастот Підтримка зовнішніх носіїв через USB і слот для TF-карт Опис пристрою: Цей радіоприймач забезпечує якісне вживання радіостанцій завдяки довгій телескопічній антені. Пристрій підтримує кілька варіантів живлення: від акумулятора, батарейок або мережі 220 В, що робить його зручним для використання в будь-яких умовах. Завдяки вбудованому кардридеру та USB-роз'єму ви можете слухати не тільки радіо, а й аудіофайли з зовнішніх носіїв."
Аудіотехніка,Радіоприймач GOLON RX-381 акумуляторний,,516,в наявності,нове,,radiopryimach-golon-rx-381-akumuliatornyi.jpg,"Радіоприймач Golon RX-381 USB, SD/TF карта LED ліхтарик, Вбудований Акумулятор. Ловить сигнал радіо у будь-якому місці! Радіоприймач GOLON RX-381 – 3-х хвильовий радіоприймач-колонка з ліхтариком, аналоговим тюнером, FM діапазоном та MP3. Приймач працює на хвилях FM, AM, SW. Якісно відтворює музику з USB флешок, карт пам'яті SD та TF, є вхід для підключення сонячної панелі та вхід для підключення адаптера живлення 5V. GOLON RX-381 працює від вбудованого акумулятора, може заряджатися від мережі 220V або від адаптера 5V 1A, також можна вставити 2 батареї R20. Приймач GOLON RX-381 має високочутливий аналоговий тюнер і добре приймає радіостанції навіть у зонах невпевненого прийому. Відтворює музику через 1 динамік із частотним діапазоном 80–18000 Гц, приймає діапазони FM 88–108 MHz МГц, середні хвилі AM 530–1600 кГц, короткі хвилі SW 3,4–23.0 МГц."
Аудіотехніка,Радіоприймач GOLON RX-382 BT Bluetooth акумуляторний,,554,в наявності,нове,,radiopryimach-golon-rx-382-bt-bluetooth-akumuliatornyi.jpg,"Підключення через Bluetooth для бездротового відтворення аудіо Акумуляторний ретро радіоприймач з USB виходом у флешку + ліхтарик Радіоприймач з функцією USB/SD, знімним акумулятором та ліхтариком. Прийом трансляцій радіостанцій у FM діапазоні, а також відтворення аудіофайлів у форматі MP3/WMA (музика та аудіокниги). Радіоприймач має вбудований ліхтар, придатний у темну пору доби. Відмінний вибір для дачі чи будинку! Частотний діапазон: FM 88-108 МГц; SW 3,4-23.0 MHz; AM 530-1600 KHz; заряд акумулятора від мережі: 220V/50Hz; робота від батарейок (велика R20 - 2 шт.); акумулятор; ліхтар LED два режими. Функції: відтворення аудіо файлів у форматі MP3 з картки пам'яті SD та флешки режим перемикання треків за допомогою клавіш на панелі радіо. Механічний перемикач частот механічний пошук радіохвиль вбудований акумулятор механічне регулювання гучності робота від вбудованого акумулятора або батарейок R20 – 2 шт., заряд акумулятора від мережі 220 ."
Аудіотехніка,Радіоприймач GOLON RX-607AC,,360,в наявності,нове,,radiopryimach-golon-rx-607ac.jpg,"Це хороший попутник для подорожей, подорожей та прогулянок. Легкий та зручний радіоприймач працює на радіо частотах AM, FM, SW1, SW2, TV. Передбачені такі джерела живлення: від мережі 220 B або від двох батарейок UM-1 (не йдуть у комплекті). На корпусі радіоприймача знаходиться регулятор частоти, регулятор налаштування хвилі, регулятор гучності відтворення. Також є телескопічна антена і ручка для зручності перенесення приладу. Характеристики: Тюнер (аналоговий) діапазону ультракоротких, коротких та середніх хвиль (УКВ, КВ, СВ): FM: 64-108 МГц; AM: 530-1600 КГц; Для кращої селективності пошуку радіостанцій, SW діапазон поділений на 2 піддіапазони. SW1: 3,0-7,5 Мгц; SW2: 7,5-21,0 Мгц; Телескопічна антена (500мм) забезпечує впевнений прийом радіотрансляцій; Аудіо вихід для підключення активної аудіосистеми або навушників; ﻿﻿Живлення: від мережі 220v; Альтернативне живлення 1: Два елементи типу R20 (Велика батарея)."
Аудіотехніка,Радіоприймач GOLON RX-A08,,360,в наявності,нове,,radiopryimach-golon-rx-a08.jpg,"Радіоприймач Golon RX-A08 можна взяти з собою в подорож, на пікнік, кемпінг, у відрядження або слухати вдома на дачі. Відмінний варіант компактного музичного радіопристрою. У приймачі є можливість вибору живлення, колонка може працювати від електромережі 220В або двох батарейок (не йдуть у комплекті). Радіоприймач ловить короткі та довгі радіохвилі у широкому частотному діапазоні. На пластиковому корпусі є коліщатка для пошуку радіостанції та налаштування гучності звучання. Довга телескопічна антена забезпечує якісний прийом радіостанцій. Корпус приймача виготовлений із чорного глянсового пластику. Також є ручка для перенесення приладу. Характеристики: Частотні діапазони: AM/FM.TV/SW1/SW2; FM: 64-108 МГц; Аудіо вхід/вихід; Працює від мережі: 110v-220v 50Hz; Відсік для батарейок UM3 2шт. (Не йдуть у комплекті); Розмір 155х104х54 см. Комплектація: Радіоприймач; Кабель підключення до мережі."
